City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
181,Jijiga,ET,2022-04-17 23:55:12,9.35,42.8,64.22,71,91,2.08,overcast clouds
182,Itamarandiba,BR,2022-04-17 23:56:12,-17.8572,-42.8589,62.73,92,91,3.0,overcast clouds
183,Codrington,AU,2022-04-17 23:56:12,-38.2667,141.9667,60.06,80,100,11.77,moderate rain
184,Shenkursk,RU,2022-04-17 23:56:13,62.1091,42.896,33.42,99,100,5.19,light snow
185,Roros,NO,2022-04-17 23:56:13,62.5747,11.3842,30.34,95,98,2.33,overcast clouds
186,Myitkyina,MM,2022-04-17 23:56:13,25.3833,97.4,67.3,93,85,3.42,overcast clouds
187,Evensk,RU,2022-04-17 23:56:14,61.95,159.2333,30.45,79,99,0.83,overcast clouds
188,Warwick,US,2022-04-17 23:52:33,41.7001,-71.4162,45.72,51,73,1.99,broken clouds
189,Skibbereen,IE,2022-04-17 23:56:15,51.55,-9.2667,45.1,80,35,8.99,scattered clouds
190,Port Augusta,AU,2022-04-17 23:56:15,-32.5,137.7667,66.9,65,100,15.1,overcast clouds
191,Tanout,NE,2022-04-17 23:56:15,14.9709,8.8879,80.1,11,94,10.49,overcast clouds
192,Iwaki,JP,2022-04-17 23:56:16,37.05,140.8833,65.01,63,50,1.99,scattered clouds
193,Yuncheng,CN,2022-04-17 23:56:16,35.0231,110.9928,55.4,41,5,11.03,clear sky
194,Cayenne,GF,2022-04-17 23:46:37,4.9333,-52.3333,81.09,1,0,3.44,clear sky
195,Vardo,NO,2022-04-17 23:56:16,70.3705,31.1107,39.92,92,100,11.74,overcast clouds
196,Ancud,CL,2022-04-17 23:56:17,-41.8697,-73.8203,55.22,86,100,5.77,overcast clouds
197,Kungurtug,RU,2022-04-17 23:56:17,50.5994,97.5228,34.72,73,25,2.1,scattered clouds
198,Guangshui,CN,2022-04-17 23:56:17,31.6199,113.9978,57.24,69,100,4.59,overcast clouds
199,Magadan,RU,2022-04-17 23:56:18,59.5667,150.8,25.92,70,100,1.83,overcast clouds
200,Starozhilovo,RU,2022-04-17 23:56:18,54.2254,39.916,31.96,97,97,8.68,overcast clouds
201,Bardiyah,LY,2022-04-17 23:56:18,31.7561,25.0865,59.83,84,0,13.35,clear sky
202,Diego De Almagro,CL,2022-04-17 23:56:19,-26.3667,-70.05,60.51,48,0,2.44,clear sky
203,Araguaina,BR,2022-04-17 23:56:19,-7.1911,-48.2072,75.67,88,100,0.36,overcast clouds
204,Saldanha,ZA,2022-04-17 23:56:20,-33.0117,17.9442,59.05,80,34,9.4,scattered clouds
205,Santiago Del Estero,AR,2022-04-17 23:56:20,-27.7951,-64.2615,65.75,53,0,3.36,clear sky
206,Churapcha,RU,2022-04-17 23:56:20,62.0025,132.4325,30.09,75,17,11.3,few clouds
207,Luderitz,NA,2022-04-17 23:56:21,-26.6481,15.1594,67.48,49,0,12.12,clear sky
208,Tilichiki,RU,2022-04-17 23:46:34,60.4667,166.1,23.18,81,36,6.55,scattered clouds
209,Grindavik,IS,2022-04-17 23:50:16,63.8424,-22.4338,40.95,81,75,9.22,broken clouds
210,Kaitangata,NZ,2022-04-17 23:56:21,-46.2817,169.8464,57.06,56,2,2.13,clear sky
211,Kamenka,RU,2022-04-17 23:56:22,51.3223,42.7678,48.52,88,100,7.23,overcast clouds
212,College,US,2022-04-17 23:46:39,64.8569,-147.8028,39.97,25,0,9.22,clear sky
213,Mazamari,PE,2022-04-17 23:56:22,-11.3258,-74.5308,74.48,78,58,0.47,broken clouds
214,Umm Lajj,SA,2022-04-17 23:56:22,25.0213,37.2685,85.42,22,100,11.34,overcast clouds
